,Week,Date,Home Team,Away Team,Spread,Home Points,Away Points,home_turnovers_won,away_turnovers_won,Turnover,home_penalties_conceded,away_penalties_conceded,penalties_conceded,home_yellow_cards,away_yellow_cards,sin_bin
143,21.0,2021-12-31,Harlequins,Exeter_Chiefs,,,,,,0.0,,,0.0,,,0.0
144,21.0,2021-12-31,Newcastle_Falcons,Northampton_Saints,,,,,,0.0,,,0.0,,,0.0
145,21.0,2021-12-31,Saracens,Gloucester_Rugby,,,,,,0.0,,,0.0,,,0.0
146,21.0,2021-12-31,Bath_Rugby,Worcester_Warriors,,,,,,0.0,,,0.0,,,0.0
147,21.0,2021-12-31,Wasps,Leicester_Tigers,,,,,,0.0,,,0.0,,,0.0
148,,,,,,,,,,0.0,,,0.0,,,0.0
149,,,,,,,,,,0.0,,,0.0,,,0.0
150,,,,,,,,,,0.0,,,0.0,,,0.0
151,,,,,,,,,,,,,,,,0.0
152,,,,,,,,,,,,,,,,0.0
