,Unnamed: 0,Week,Date,Home Team,Away Team,Spread,Opening Spread,inter_spread_1,inter_spread_2,Home Points,Away Points,clean_breaks_home,clean_breaks_away,home_turnovers_conceded,away_turnovers_conceded,turnovers_won_home,turnovers_won_away,home_penalties_conceded,away_penalties_conceded,yellow_card_home,yellow_card_away,Unnamed: 21,Unnamed: 22,Unnamed: 23,sin_bin,penalties_conceded,clean_breaks,Turnover
106,,14.0,2024-05-25,Crusaders,Blues,5.5,7.5,,,29.0,27.0,3.0,4.0,10.0,10.0,4.0,2.0,8.0,14.0,,1.0,,,,-1.0,-6.0,1.0,-2.0
107,,14.0,2024-05-25,Reds,Force,-13.5,-13.5,,,59.0,13.0,8.0,1.0,12.0,12.0,5.0,5.0,6.0,10.0,,2.0,,,,-2.0,-4.0,-7.0,0.0
108,,14.0,2024-05-26,Highlanders,Drua,-8.5,-8.5,,,39.0,3.0,11.0,7.0,9.0,23.0,15.0,3.0,12.0,9.0,,1.0,,,,-1.0,3.0,-4.0,-26.0
109,,15.0,2024-05-31,Crusaders,Moana,-26.5,-27.5,,,43.0,10.0,9.0,3.0,9.0,16.0,6.0,3.0,11.0,10.0,1.0,1.0,,,,0.0,1.0,-6.0,-10.0
110,,15.0,2024-05-31,Waratahs,Reds,9.5,12.5,11.5,,26.0,27.0,6.0,6.0,13.0,6.0,2.0,6.0,4.0,9.0,,,,,,0.0,-5.0,0.0,11.0
111,,15.0,2024-06-01,Drua,Rebels,-13.5,-13.5,,,40.0,19.0,9.0,6.0,12.0,11.0,4.0,6.0,11.0,8.0,1.0,,,,,1.0,3.0,-3.0,3.0
112,,15.0,2024-06-01,Hurricanes,Highlanders,-23.5,-19.5,,,41.0,14.0,10.0,5.0,20.0,11.0,3.0,11.0,7.0,7.0,,2.0,,,,-2.0,0.0,-5.0,17.0
113,,15.0,2024-06-01,Blues,Chiefs,-7.5,-6.5,,,31.0,17.0,4.0,3.0,10.0,10.0,5.0,4.0,8.0,13.0,1.0,1.0,,,,0.0,-5.0,-1.0,-1.0
114,,15.0,2024-06-01,Force,Brumbies,5.5,3.5,,,19.0,24.0,7.0,6.0,15.0,15.0,3.0,8.0,11.0,12.0,,1.0,,,,-1.0,-1.0,-1.0,5.0
115,,16.0,2024-06-07,Chiefs,Reds,-11.5,-12.5,,,43.0,21.0,7.0,11.0,8.0,15.0,9.0,4.0,10.0,8.0,,1.0,,,,-1.0,2.0,4.0,-12.0
116,,16.0,2024-06-08,Hurricanes,Rebels,-27.5,-28.5,,,47.0,20.0,9.0,3.0,14.0,15.0,3.0,7.0,6.0,6.0,,,,,,0.0,0.0,-6.0,3.0
117,,16.0,2024-06-08,Blues,Drua,-25.5,-25.5,,,36.0,5.0,7.0,3.0,14.0,10.0,5.0,7.0,7.0,15.0,,,,,,0.0,-8.0,-4.0,6.0
118,,16.0,2024-06-08,Brumbies,Highlanders,-13.5,-14.5,,,32.0,16.0,8.0,1.0,12.0,11.0,6.0,2.0,13.0,10.0,,,,,,0.0,3.0,-7.0,-3.0
119,,17.0,2024-06-14,Blues,Brumbies,-10.5,-10.5,,,34.0,20.0,4.0,3.0,16.0,15.0,6.0,5.0,8.0,6.0,,1.0,,,,-1.0,2.0,-1.0,0.0
120,,17.0,2024-06-15,Hurricanes,Chiefs,-2.5,-2.5,,,19.0,30.0,4.0,6.0,22.0,8.0,3.0,10.0,9.0,7.0,,2.0,,,,-2.0,2.0,2.0,21.0
121,,18.0,2024-06-22,Blues,Chiefs,-5.5,-5.5,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
122,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
